127.0.0.1 - - [27/Jul/2021:09:13:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:42 +0900] "GET /jsp_community_2021/ HTTP/1.1" 302 3
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:42 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 12258
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:43 +0900] "GET /jsp_community_2021/resource/common.css HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:43 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:43 +0900] "GET /jsp_community_2021/resource/common.js HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:45 +0900] "GET /jsp_community_2021/usr/article/list?boardId=1 HTTP/1.1" 200 30117
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:45 +0900] "GET /jsp_community_2021/usr/article/list?boardId=2 HTTP/1.1" 200 30451
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:46 +0900] "GET /jsp_community_2021/usr/article/list?boardId=1 HTTP/1.1" 200 30117
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:47 +0900] "GET /jsp_community_2021/usr/article/list?boardId=1 HTTP/1.1" 200 30117
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:47 +0900] "GET /jsp_community_2021/ HTTP/1.1" 302 3
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:47 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 12258
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:48 +0900] "GET /jsp_community_2021/usr/member/login?afterLoginUri=%2Fjsp_community_2021%2Fusr%2Fhome%2Fmain HTTP/1.1" 200 11545
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:49 +0900] "GET /jsp_community_2021/usr/member/join HTTP/1.1" 200 15886
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:49 +0900] "GET /jsp_community_2021/usr/article/write HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:50 +0900] "GET /jsp_community_2021/usr/member/login?afterLoginUri=%2Fjsp_community_2021%2Fusr%2Farticle%2Fwrite HTTP/1.1" 200 11561
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:51 +0900] "GET /jsp_community_2021/usr/article/write HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:51 +0900] "GET /jsp_community_2021/usr/member/login?afterLoginUri=%2Fjsp_community_2021%2Fusr%2Farticle%2Fwrite HTTP/1.1" 200 11561
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:52 +0900] "GET /jsp_community_2021/usr/member/join HTTP/1.1" 200 15886
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:52 +0900] "GET /jsp_community_2021/resource/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:52 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:52 +0900] "GET /jsp_community_2021/resource/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:13:59 +0900] "GET /jsp_community_2021/usr/member/login?afterLoginUri=%2Fjsp_community_2021%2Fusr%2Fmember%2Fjoin HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:00 +0900] "GET /jsp_community_2021/usr/article/list?boardId=2 HTTP/1.1" 200 30451
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:01 +0900] "GET /jsp_community_2021/usr/article/list?boardId=2 HTTP/1.1" 200 30451
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:02 +0900] "GET /jsp_community_2021/usr/article/list?boardId=1 HTTP/1.1" 200 30117
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:03 +0900] "GET /jsp_community_2021/ HTTP/1.1" 302 3
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:03 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 12258
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:03 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:03 +0900] "GET /jsp_community_2021/resource/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:03 +0900] "GET /jsp_community_2021/resource/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:03 +0900] "GET /jsp_community_2021/usr/article/list?boardId=2 HTTP/1.1" 200 30451
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:04 +0900] "GET /jsp_community_2021/usr/member/join HTTP/1.1" 200 15886
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:05 +0900] "GET /jsp_community_2021/usr/member/login?afterLoginUri=%2Fjsp_community_2021%2Fusr%2Fmember%2Fjoin HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:06 +0900] "GET /jsp_community_2021/usr/member/join HTTP/1.1" 200 15886
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:07 +0900] "GET /jsp_community_2021/usr/article/write HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:08 +0900] "GET /jsp_community_2021/usr/member/login?afterLoginUri=%2Fjsp_community_2021%2Fusr%2Farticle%2Fwrite HTTP/1.1" 200 11561
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:11 +0900] "POST /jsp_community_2021/usr/member/doLogin HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:14:12 +0900] "GET /jsp_community_2021/usr/article/write HTTP/1.1" 200 11952
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:18:57 +0900] "GET /jsp_community_2021/usr/main/doSendMail HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:19:21 +0900] "GET /jsp_community_2021/usr/home/doSendMail HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:26:22 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 12116
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:26:22 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:26:22 +0900] "GET /jsp_community_2021/resource/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:26:22 +0900] "GET /jsp_community_2021/resource/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:40:32 +0900] "GET /jsp_community_2021/usr/member/doLogout HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:40:32 +0900] "GET /jsp_community_2021/ HTTP/1.1" 302 3
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:40:32 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 12258
0:0:0:0:0:0:0:1 - - [27/Jul/2021:09:40:32 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 304 -
